,School,Zipcode
156,Brooklyn High School of the Arts,['11217']
157,Brooklyn Institute for Liberal Arts,['11203']
158,Brooklyn International High School,['11201']
159,Brooklyn LAB Charter School,['11201']
160,Brooklyn Lab School,['11208']
161,Brooklyn Landmark Elementary School,['11233']
162,"Brooklyn Latin School, The",['11206']
163,Brooklyn Preparatory High School,['11211']
164,Brooklyn Prospect Charter School,['11218']
165,Brooklyn Prospect Charter School Downtown,['11201']
166,Brooklyn Scholars Charter School,['11208']
167,Brooklyn School of Inquiry,['11204']
168,Brooklyn Science and Engineering Academy,['11203']
169,Brooklyn Secondary School for Collaborative Studie,['11231']
170,Brooklyn Studio Secondary School,['11214']
171,Brooklyn Technical High School,['11217']
172,Brooklyn Theatre Arts High School,['11236']
173,Brooklyn Urban Garden Charter School,['11215']
174,Brooklyn's Daily Discovery Pre-K Center,['11223']
175,Broome Street Academy Charter School,['10013']
176,Brownsville Academy High School,['11212']
177,Brownsville Ascend Charter School,['11212']
178,Brownsville Collaborative Middle School,['11212']
179,Brownsville Collegiate Charter School,['11212']
180,Bushwick Ascend Charter School,['11237']
181,Bushwick Community High School,['11221']
182,Bushwick Leaders High School for Academic Excellen,['11221']
183,Business Of Sports School,['10019']
184,Business Technology Early College High School,['11427']
185,CSI High School for International Studies,['10314']
186,Cambria Heights Academy,['11423']
187,Canarsie Ascend Charter School,['11236']
188,Capital Preparatory (CP) Harlem Charter School,['10029']
189,Careers in Sports High School,['10451']
190,Cascades High School,['10002']
191,Castle Bridge School,['10032']
192,"Celia Cruz Bronx High School of Music, The",['10468']
193,Central Brooklyn Ascend Charter School,['11226']
194,Central Park East High School,['10029']
195,Central Park East I,['10029']
196,Central Park East II,['10029']
197,Central Queens Academy Charter School,['11373']
198,Challenge Preparatory Charter School,['11691']
199,Channel View School for Research,['11694']
200,Charter High School for Law and Social Justice,['10453']
201,Chelsea Career and Technical Education High School,['10013']
202,Children's Aid College Prep Charter School,['10457']
203,Christopher Avenue Community School,['11212']
204,Citizens of the World Charter School New York 2 Cr,['11222']
205,City College Academy of the Arts,['10040']
206,City Knoll Middle School,['10001']
207,"City Polytechnic High School of Engineering, Archi",['11201']
208,Civic Leadership Academy,['11373']
209,Clara Barton High School,['11225']
210,Claremont International HS,['10457']
211,Coalition School for Social Change,['10035']
212,Cobble Hill School of American Studies,['11201']
213,Collaborative Arts Middle School,['11413']
214,Collegiate Institute for Math and Science,['10469']
215,Columbia Secondary School,['10027']
216,Community Health Academy of the Heights,['10032']
217,Community Partnership Charter School,['11238']
218,Community Roots Charter School,['11205']
219,Community School for Social Justice,['10451']
220,Community Voices Middle School,['11413']
221,Compass Charter School,['83642']
222,Comprehensive Model School Project M.S. 327,['10452']
223,Concourse Village Elementary School,['10451']
224,Conselyea Preparatory School,['11211']
225,Cornerstone Academy for Social Action,['10475']
226,Cornerstone Academy for Social Action Middle Schoo,['10475']
227,Creston Academy,['10453']
228,Crotona Academy High School,['10459']
229,Crotona International High School,['10458']
230,Cultural Academy for the Arts and Sciences,['11203']
231,Curtis High School,['98466']
232,Cynthia Jenkins School,['11434']
233,Cypress Hills Collegiate Preparatory School,['11208']
234,DREAM Charter School,['10029']
235,DeWitt Clinton High School,['10468']
236,Democracy Prep Endurance Charter School,['10027']
237,Democracy Prep Harlem Charter School,['10027']
238,Digital Arts and Cinema Technology High School,['11201']
239,Discovery High School,['30045']
240,District 11 Pre-K Center,['80910']
241,District 2 Pre-K Center,['10004']
242,District 20 Pre-K Center,['11228']
243,District 29 Pre-K Center,['11432']
244,District 30 Pre-K Center,['11103']
245,Dock Street School for STEAM Studies,['11201']
246,Dos Puentes Elementary School,['10033']
247,Dr. Richard Izquierdo Health and Science Charter S,['10456']
248,Dr. Susan S. McKinney Secondary School of the Arts,['11205']
249,DreamYard Preparatory School,['10457']
250,E.S.M.T- I.S. 190,['10460']
251,EBC High School for Public Service - Bushwick,['11221']
252,"EMBER Charter School for Mindful Education, Innova",['11233']
253,Eagle Academy for Young Men,['10457']
254,Eagle Academy for Young Men II,['11233']
255,Eagle Academy for Young Men III,['10457']
256,Eagle Academy for Young Men of Harlem,['10030']
257,East Bronx Academy for the Future,['10460']
258,East Brooklyn Community High School,['11212']
259,East Elmhurst Community School,['11369']
260,East Flatbush Community Research School,['11203']
261,East Fordham Academy for the Arts,['10468']
262,East Harlem Scholars Academy Charter School,['10029']
263,East Harlem Scholars Academy Charter School II,['10029']
264,East New York Elementary School of Excellence,['11208']
265,East New York Family Academy,['11207']
266,East New York Middle School of Excellence,['11208']
267,East River Academy,['11370']
268,East Side Community School,['10009']
269,"East Side Elementary School, PS 267",['10065']
270,East Side Middle School,['10128']
271,East Williamsburg Scholars Academy,['11211']
272,East-West School of International Studies,['11355']
273,Ebbets Field Middle School,['11225']
274,Edward A. Reynolds West Side High School,['10025']
275,Edward R. Murrow High School,['11230']
276,El Puente Academy for Peace and Justice,['11211']
277,Eleanor Roosevelt High School,['20770']
278,"Elementary School for Math, Science, and Technolog",['10453']
279,Elijah Stroud Middle School,['11238']
280,Ella Baker School,['10065']
281,Elm Tree Elementary School,['72712']
282,Emma Lazarus High School,['10002']
283,Emolior Academy,['10460']
284,Energy Tech High School,['11106']
285,English Language Learners and International Suppor,['10463']
286,Entrada Academy,['10459']
287,Epic High School - North,['11419']
288,Epic High School - South,['11420']
289,Esperanza Preparatory Academy,['10029']
290,Essex Street Academy,['10002']
291,Evergreen Middle School for Urban Exploration,['11207']
292,Excellence Boys Charter School,['11233']
293,Excellence Girls Charter School,['11221']
294,Excelsior Preparatory High School,['11413']
295,Eximius College Preparatory Academy: A College Boa,['10456']
296,Expeditionary Learning School for Community Leader,['11214']
297,Explorations Academy H.S.,['10460']
298,Explore Charter School,['11226']
299,Explore Empower Charter School,['11213']
300,Explore Exceed Charter School,['11238']
301,Explore Excel Charter School,['11236']
302,"Facing History School, The",['10019']
303,Fairmont Neighborhood School,['10460']
304,Family Life Academy Charter School,['10454']
305,Family Life Academy Charter School II,['10454']
306,Family Life Academy Charter School III,['10451']
307,Fannie Lou Hamer Freedom High School,['10460']
308,Fannie Lou Hamer Middle School,['10460']
309,Felisa Rincon de Gautier Institute for Law and Pub,['10473']
310,Fiorello H. LaGuardia High School of Music & Art a,['10023']
311,Flushing High School,['11354']
312,Flushing International High School,['11355']
313,Food and Finance High School,['10019']
314,Fordham High School for the Arts,['10458']
315,Fordham Leadership Academy,['10458']
316,Forest Hills High School,['11375']
317,Forsyth Satellite Academy,['10002']
318,Fort Greene Preparatory Academy,['11205']
319,Fort Hamilton High School,['11209']
320,Fort Hill Collaborative Elementary School,['10301']
321,Forte Preparatory Academy Charter School,['11369']
