,School,Zipcode
671,NYC iSchool,['10013']
672,Naples Street Elementary School,['10304']
673,Neighborhood Charter School of Harlem,['10027']
674,Neighborhood School,['10009']
675,Nelson Mandela High School,[]
676,New American Academy Charter School,['11236']
677,New Bridges Elementary,['11213']
678,New Dawn Charter High School,['11217']
679,New Design High School,['10002']
680,New Design Middle School,['10027']
681,New Directions Secondary School,['10457']
682,New Dorp High School,['10306']
683,"New Explorations into Science, Technology and Math",['10002']
684,New Explorers High School,['10451']
685,New Heights Academy Charter School,['10031']
686,New Heights Middle School,['11203']
687,New Hope Academy Charter School,['11203']
688,New Millennium Business Academy Middle School,['10456']
689,New Utrecht High School,['11214']
690,New Visions A.I.M. Charter High School II,['10459']
691,New Visions Charter High School for Advanced Math,['10463']
692,New Visions Charter High School for the Humanities,['10463']
693,New Voices School of Academic & Creative Arts,['11215']
694,New World High School,['10466']
695,New World Preparatory Charter School,['10302']
696,New York Center for Autism Charter School,['10029']
697,New York Center for Autism Charter School Bronx,['10029']
698,New York City Academy for Discovery,['11421']
699,New York City Charter School of the Arts,['10004']
700,New York City Lab Middle School for Collaborative,['10011']
701,New York City Montessori Charter School,['10454']
702,New York French American Charter School,['10027']
703,Newcomers High School,['11101']
704,Newtown High School,['06482']
705,North Bronx School of Empowerment,['10469']
706,North Queens Community High School,"['14125', '11367']"
707,Northside Charter High School,['11222']
708,Ocean Hill Collegiate Charter School,['11233']
709,Olympus Academy,['11236']
710,One World Middle School at Edenwald,['10466']
711,Orchard Collegiate Academy,['10002']
712,Origins High School,['11235']
713,Our World Neighborhood Charter School,['11106']
714,P. S. 62 - Chester Park School,['11419']
715,P.S. /I.S. 384 Frances E. Carter,['11207']
716,P.S. 001 Alfred E. Smith,['10038']
717,P.S. 001 The Bergen,[]
718,P.S. 001 Tottenville,['10307']
719,P.S. 002 Alfred Zimberg,['11370']
720,P.S. 002 Meyer London,['10002']
721,P.S. 003 Charrette School,['10014']
722,P.S. 004 Duke Ellington,['10032']
723,P.S. 004 Maurice Wollin,['10032']
724,P.S. 006 Lillie D. Blake,['10028']
725,P.S. 006 West Farms,['10460']
726,P.S. 007 Louis F. Simeone,['11373']
727,P.S. 008 Isaac Varian,['10458']
728,P.S. 008 Robert Fulton,['11201']
729,P.S. 009,['11238']
730,P.S. 009 Sarah Anderson,['10024']
731,P.S. 009 Teunis G. Bergen,['11238']
732,P.S. 011 Highbridge,['10452']
733,P.S. 011 Kathryn Phelan,['11377']
734,P.S. 011 Purvis J. Behan,['11238']
735,P.S. 011 William T. Harris,['10011']
736,P.S. 013 Clement C. Moore,['11373']
737,P.S. 013 M. L. Lindemeyer,['10305']
738,P.S. 015 Patrick F. Daly,['11231']
739,P.S. 015 Roberto Clemente,['10009']
740,P.S. 017 Henry D. Woodworth,['11211']
741,P.S. 019 Asher Levy,['10003']
742,P.S. 019 Judith K. Weiss,['10470']
743,P.S. 019 Marino Jeantet,['11368']
744,P.S. 019 The Curtis School,"['15871', '90049']"
745,P.S. 020 Clinton Hill,['11205']
746,P.S. 020 John Bowne,['11355']
747,P.S. 020 Port Richmond,['10302']
748,P.S. 021 Edward Hart,['11354']
749,P.S. 021 Philip H. Sheridan,['10466']
750,P.S. 022 Graniteville,['10303']
751,P.S. 022 Thomas Jefferson,['11355']
752,P.S. 023 Richmondtown,['10306']
753,P.S. 023 The New Children's School,['10457']
754,P.S. 024 Spuyten Duyvil,['10463']
755,P.S. 025 Eubie Blake School,['11221']
756,P.S. 026 Jesse Owens,['11221']
757,P.S. 026 Rufus King,['11365']
758,P.S. 026 The Carteret School,['10314']
759,P.S. 028 Mount Hope,['10457']
760,P.S. 028 The Warren Prep Academy,['11233']
761,P.S. 028 Wright Brothers,['10032']
762,P.S. 029 Bardwell,['10314']
763,P.S. 029 John M. Harrigan,['11201']
764,P.S. 029 Queens,['11356']
765,P.S. 030 Hernandez/Hughes,['10035']
766,P.S. 030 Westerleigh,['10314']
767,P.S. 030 Wilton,['10454']
768,P.S. 032 Samuel Mills Sprole,['11231']
769,P.S. 032 The Gifford School,['02493']
770,P.S. 033 Chelsea Prep,['10001']
771,P.S. 033 Edward M. Funk,['11428']
772,P.S. 034 John Harvard,['11429']
773,P.S. 035,['10019']
774,P.S. 035 Franz Siegel,['10451']
775,P.S. 035 Nathaniel Woodhull,['11423']
776,P.S. 036 J. C. Drumgoole,['10312']
777,P.S. 036 Margaret Douglas,['10027']
778,P.S. 036 Saint Albans School,['11412']
779,P.S. 036 Unionport,['10472']
780,P.S. 038 Rosedale,['11422']
781,P.S. 038 The Pacific,['11201']
782,P.S. 039 Henry Bristow,['11215']
783,P.S. 041 Crocheron,['11361']
784,P.S. 041 Greenwich Village,['10011']
785,P.S. 042 Benjamin Altman,['10002']
786,P.S. 042 Claremont,['10457']
787,P.S. 042 Eltingville,['10312']
788,P.S. 044 David C. Farragut,['10457']
789,P.S. 045 Clarence Witherspoon,['11436']
790,P.S. 045 John Tyler,['10310']
791,P.S. 046 Albert V. Maniscalco,['10305']
792,P.S. 046 Alley Pond,['11364']
793,P.S. 046 Edward C. Blum,['11205']
794,P.S. 048 Joseph R. Drake,['10474']
795,P.S. 048 Mapleton,['11204']
796,P.S. 048 P.O. Michael J. Buczek,['10033']
797,P.S. 048 William G. Wilcox,['10304']
798,P.S. 048 William Wordsworth,['11433']
799,P.S. 049 Dorothy Bonawit Kole,['11379']
800,P.S. 049 Willis Avenue,['10454']
801,P.S. 050 Frank Hankinson,['10306']
802,P.S. 050 Talfourd Lawn Elementary School,['11435']
803,P.S. 050 Vito Marcantonio,['10029']
804,P.S. 051 Bronx New School,['10457']
805,P.S. 052 John C. Thompson,['10305']
806,P.S. 052 Queens,['11434']
807,P.S. 052 Sheepshead Bay,['11235']
808,P.S. 053 Basheer Quisim,['10456']
809,P.S. 054 Hillside,['11418']
810,P.S. 054 Samuel C. Barnes,['11205']
811,P.S. 056 Norwood Heights,['10467']
812,P.S. 059 Beekman Hill International,['10022']
813,P.S. 059 The Community School of Technology,['10457']
814,P.S. 059 William Floyd,['11206']
815,P.S. 060 Alice Austen,['10314']
816,P.S. 062 Inocensio Casanova,['10455']
817,P.S. 063 Author's Academy,['10456']
818,P.S. 064 Joseph P. Addabbo,['11416']
819,P.S. 064 Robert Simon,['10009']
820,P.S. 065,['11208']
821,P.S. 065 Mother Hale Academy,['10454']
822,P.S. 066 Jacqueline Kennedy Onassis,['11418']
823,P.S. 066 School of Higher Expectations,['10460']
824,P.S. 067 Charles A. Dorsey,['11205']
825,P.S. 067 Mohegan School,['10460']
826,P.S. 068 Bronx,['10466']
827,P.S. 068 Cambridge,['11385']
828,P.S. 069 Daniel D. Tompkins,['10473']
829,P.S. 069 Jackson Heights,['11372']
830,P.S. 069 Journey Prep School,['10473']
831,P.S. 071 Rose E. Scala,['10461']
832,P.S. 072 Dr. William Dorney,['10465']
833,P.S. 073 Bronx,['10452']
834,P.S. 076 A. Philip Randolph,['10027']
835,P.S. 076 The Bennington School,['10469']
836,P.S. 079 Francis Lewis,['11357']
837,P.S. 081 Robert J. Christen,['10471']
838,P.S. 081 Thaddeus Stevens,['11221']
839,P.S. 083 Donald Hertz,['10462']
840,P.S. 084 Lillian Weber,['10025']
841,P.S. 085 Judge Charles Vallone,['11105']
842,P.S. 086 Kingsbridge Heights,['10468']
843,P.S. 086 The Irvington,['11237']
844,P.S. 087 Bronx,['10466']
845,P.S. 087 William Sherman,['10024']
846,P.S. 089 Bronx,['10469']
847,P.S. 089 Cypress Hills,['11207']
848,P.S. 089 Elmhurst,['11373']
849,P.S. 091 Bronx,['10453']
850,P.S. 091 Richard Arkwright,['11385']
851,P.S. 091 The Albany Avenue School,['11757']
852,P.S. 092 Bronx,['10457']
853,P.S. 092 Harry T. Stewart Sr.,['11368']
854,P.S. 092 Mary McLeod Bethune,['10030']
855,P.S. 093 Albert G. Oliver,['10473']
856,P.S. 093 William H. Prescott,['11216']
857,P.S. 094 David D. Porter,['11363']
858,P.S. 094 Kings College School,[]
859,P.S. 095 Eastwood,['11432']
860,P.S. 095 Sheila Mencher,['10463']
861,P.S. 095 The Gravesend,['11223']
862,P.S. 097 Bronx,['10469']
863,P.S. 098 Shorac Kappock,['10034']
864,P.S. 098 The Douglaston School,['11363']
865,P.S. 099 Kew Gardens,['11415']
866,P.S. 100 Glen Morris,['11420']
867,P.S. 100 Isaac Clason,['10473']
868,P.S. 100 The Coney Island School,['11224']
869,P.S. 101 School in the Gardens,['11375']
870,P.S. 101 The Verrazano,['11214']
871,P.S. 102 Bayview,['11209']
872,P.S. 102 Jacques Cartier,['10029']
873,P.S. 102 The Bayview,['11209']
874,P.S. 103 Hector Fontanez,['10466']
875,P.S. 104 The Bays Water,['11691']
876,P.S. 105 Sen Abraham Bernstein,['10462']
877,P.S. 105 The Bay School,['11691']
878,P.S. 105 The Blythebourne,['11219']
879,P.S. 106 Edward Everett Hale,"['11238', '11221']"
880,P.S. 106 Parkchester,['10462']
881,P.S. 107,['11215']
882,P.S. 107 John W. Kimball,['11215']
883,P.S. 107 Thomas A Dooley,['11358']
884,P.S. 108 Philip J. Abinanti,['10461']
885,P.S. 108 Sal Abbracciamento,['11208']
886,P.S. 109,['11203']
887,P.S. 109 Sedgwick,['10453']
888,P.S. 110,['11222']
889,P.S. 110 Florence Nightingale,['10002']
890,P.S. 110 The Monitor,['11222']
891,P.S. 110 Theodore Schoenfeld,['10456']
892,P.S. 111 Adolph S. Ochs,['10019']
893,P.S. 111 Jacob Blackwell,['11101']
894,P.S. 111 Seton Falls,['10466']
895,P.S. 112 Bronxwood,['10466']
896,P.S. 112 Dutch Kills,['11101']
897,P.S. 112 Jose Celso Barbosa,['10035']
898,P.S. 112 Lefferts Park,['11228']
899,P.S. 114 Ryder Elementary,['11236']
900,P.S. 115 Alexander Humboldt,['10033']
901,P.S. 115 Daniel Mucatel School,['11236']
902,P.S. 116 Elizabeth L Farrell,['11237']
903,P.S. 116 Mary Lindley Murray,['10016']
904,P.S. 118 Lorraine Hansberry,['11412']
905,P.S. 119 Amersfort,['11210']
906,P.S. 120 Carlos Tapia,['11206']
907,P.S. 120 Queens,['11355']
908,P.S. 121 Queens,['11419']
909,P.S. 122 Mamie Fay,['11105']
910,P.S. 123,['11237']
911,P.S. 123 Mahalia Jackson,['10030']
912,P.S. 123 Suydam,['11237']
913,P.S. 124 Osmond A Church,['11420']
914,P.S. 124 Silas B. Dutcher,['11215']
915,P.S. 124 Yung Wing,['10002']
916,P.S. 125 Ralph Bunche,['10027']
917,P.S. 126 Dr Marjorie H Dunbar,['10452']
918,P.S. 126 Jacob August Riis,['10038']
919,P.S. 127 Aerospace Science Magnet School,['11369']
920,P.S. 127 Mckinley Park,['11228']
921,P.S. 128 Audubon,['10032']
922,P.S. 128 Bensonhurst,['11214']
923,P.S. 129 John H. Finley,['10027']
924,P.S. 129 Patricia Larkin,['11356']
925,P.S. 130,['11218']
926,P.S. 130 Abram Stevens Hewitt,['10455']
927,P.S. 130 Hernando De Soto,['10013']
928,P.S. 130 The Parkside,['11218']
929,P.S. 131 Abigail Adams,['11432']
930,P.S. 131 Brooklyn,['11219']
931,P.S. 132 Garret A. Morgan,['10456']
932,P.S. 132 Juan Pablo Duarte,['10033']
933,P.S. 132 Ralph Bunche,['11413']
934,P.S. 132 The Conselyea School,['11211']
935,P.S. 133 Fred R Moore,['10037']
936,P.S. 133 Queens,['11426']
937,P.S. 133 William A. Butler,['11217']
938,P.S. 134 George F. Bristow,['10459']
939,P.S. 134 Henrietta Szold,['10002']
940,P.S. 134 Hollis,['11412']
941,P.S. 135 Sheldon A. Brookner,['11203']
942,P.S. 136 Roy Wilkins,['11412']
943,P.S. 138,['11216']
944,P.S. 138 Brooklyn,['11216']
945,P.S. 138 Samuel Randall,['10473']
946,P.S. 139 Alexine A. Fenty,['11226']
947,P.S. 139 Rego Park,['11374']
948,P.S. 140 Edward K Ellington,['11434']
949,P.S. 140 Nathan Straus,['10002']
950,P.S. 142 Amalia Castro,['10002']
951,P.S. 143 Louis Armstrong,['11368']
952,P.S. 144 Col Jeromus Remsen,['11375']
953,P.S. 145 Andrew Jackson,['11206']
954,"P.S. 145, The Bloomingdale School",['10025']
955,P.S. 146 Ann M. Short,['10029']
956,P.S. 146 Edward Collins,['10456']
957,P.S. 146 Howard Beach,['11414']
958,P.S. 147 Isaac Remsen,['11206']
959,P.S. 148 Queens,['11369']
960,P.S. 149 Christa Mcauliffe,['11372']
961,P.S. 149 Danny Kaye,['11207']
962,P.S. 149 Sojourner Truth,['10026']
963,P.S. 150,['50000']
964,P.S. 150 Charles James Fox,['10459']
965,P.S. 150 Christopher,['11212']
966,P.S. 150 Queens,['11104']
967,P.S. 151 Lyndon B. Johnson,['11207']
968,P.S. 151 Mary D. Carter,['11377']
969,P.S. 152 Dyckman Valley,['10040']
970,P.S. 152 Evergreen,['10472']
971,P.S. 152 Gwendoline N. Alleyne School,['11377']
972,P.S. 153 Adam Clayton Powell,['10031']
973,P.S. 153 Helen Keller,['10475']
974,P.S. 153 Homecrest,['11229']
975,P.S. 153 Maspeth Elem,['11378']
976,P.S. 154 Harriet Tubman,['10027']
977,P.S. 154 Jonathan D. Hyatt,['10454']
978,P.S. 154 Queens,['11366']
979,P.S. 155,['11420']
980,P.S. 155 William Paca,['10035']
981,P.S. 156 Laurelton,['11413']
982,P.S. 156 Waverly,['11212']
983,P.S. 157 Grove Hill,['10456']
984,P.S. 158 Bayard Taylor,['10075']
985,P.S. 158 Warwick,['11207']
986,P.S. 159,['11361']
987,P.S. 159 Isaac Pitkin,['11208']
988,P.S. 159 Luis Munoz Marin Biling,['10458']
989,P.S. 160 Walt Disney,['10475']
990,P.S. 160 Walter Francis Bishop,['11435']
991,P.S. 160 William T. Sampson,['11219']
992,P.S. 161 Arthur Ashe School,['11419']
993,P.S. 161 Juan Ponce De Leon School,['10455']
994,P.S. 161 Pedro Albizu Campos,['10027']
995,P.S. 161 The Crown,['11225']
996,P.S. 162 John Golden,['11364']
997,P.S. 163 Alfred E. Smith,['10025']
998,P.S. 163 Arthur A. Schomburg,['10457']
999,P.S. 163 Bath Beach,['11214']
1000,P.S. 163 Flushing Heights,['11365']
1001,P.S. 164 Queens Valley,['11367']
1002,P.S. 165 Edith K. Bergtraum,['11367']
1003,P.S. 165 Ida Posner,['11212']
1004,P.S. 165 Robert E. Simon,['10025']
1005,P.S. 166 Henry Gradstein,['11106']
1006,P.S. 166 The Richard Rodgers School of The Arts an,['10024']
1007,P.S. 168,['10451']
1008,P.S. 169 Bay Terrace,['11360']
1009,P.S. 169 Sunset Park,['11232']
1010,P.S. 170,['11209']
1011,P.S. 171 Patrick Henry,['10029']
1012,P.S. 171 Peter G. Van Alst,['11102']
1013,P.S. 172 Beacon School of Excellence,['11232']
1014,P.S. 173,['11365']
1015,P.S. 173 Fresh Meadows,['11365']
1016,P.S. 174 William Sidney Mount,['11374']
1017,P.S. 175 City Island,['10464']
1018,P.S. 175 Henry H Garnet,['10030']
1019,P.S. 175 The Lynn Gross Discovery School,['11374']
1020,P.S. 176 Cambria Heights,['11411']
1021,P.S. 176 Ovington,['11219']
1022,P.S. 177 The Marlboro,['11204']
1023,P.S. 178 - Dr. Selman Waksman,['10475']
1024,P.S. 178 Saint Clair Mckelway,['11233']
1025,P.S. 179,['11218']
1026,P.S. 179 Kensington,['11218']
1027,P.S. 180 Hugo Newman,['10027']
1028,P.S. 181 Brookfield,['11413']
1029,P.S. 181 Brooklyn,['11203']
1030,P.S. 182,['10473']
1031,P.S. 182 Samantha Smith,['11432']
1032,P.S. 183 Dr. Richard R. Green,['11693']
1033,P.S. 183 Robert L. Stevenson,['10065']
1034,P.S. 184 Flushing Manor,['11357']
1035,P.S. 184 Newport,['11212']
1036,P.S. 184m Shuang Wen,['10002']
1037,P.S. 185 - The Early Childhood Discovery and Desig,['10026']
1038,P.S. 185 Walter Kassenbrock,['11209']
1039,P.S. 186 Castlewood,['11426']
1040,P.S. 186 Dr. Irving A Gladstone,['11214']
1041,P.S. 188 Kingsbury,"['21812', '11364']"
1042,P.S. 188 Michael E. Berdy,['11224']
1043,P.S. 188 The Island School,['10002']
1044,P.S. 189,['11212']
1045,P.S. 189 The Bilingual Center,['11212']
1046,P.S. 190 Sheffield,['11207']
1047,P.S. 191 Mayflower,['11001']
1048,P.S. 191 Paul Robeson,['11233']
1049,P.S. 192 - The Magnet School for Math and Science,['11204']
1050,P.S. 192 Jacob H. Schiff,['10031']
1051,P.S. 193 Alfred J. Kennedy,['11357']
1052,P.S. 193 Gil Hodges,['11210']
1053,P.S. 194 Countee Cullen,['10030']
1054,P.S. 194 Raoul Wallenberg,['11229']
1055,P.S. 195,['11235']
1056,P.S. 195 Manhattan Beach,['11235']
1057,P.S. 195 William Haberle,['11422']
1058,P.S. 196,['11375']
1059,P.S. 196 Grand Central Parkway,['11375']
1060,P.S. 196 Ten Eyck,['11206']
1061,P.S. 197 - The Kings Highway Academy,['11229']
1062,P.S. 197 John B. Russwurm,['10037']
1063,P.S. 197 The Ocean School,['11691']
1064,P.S. 198 Brooklyn,['11203']
1065,P.S. 198 Isador E. Ida Straus,['10128']
1066,P.S. 199 Frederick Wachtel,['11230']
1067,P.S. 199 Jessie Isador Straus,['10023']
1068,P.S. 199 Maurice A. Fitzgerald,['11104']
1069,P.S. 200 Benson School,['11214']
1070,P.S. 200- The James Mccune Smith School,['10039']
1071,P.S. 201 The Discovery School for Inquiry and Rese,['11367']
1072,P.S. 202 Ernest S. Jenkyns,['11208']
1073,P.S. 203 Floyd Bennett School,['11234']
1074,P.S. 203 Oakland Gardens,['11364']
1075,P.S. 204 Morris Heights,['10453']
1076,P.S. 204 Vince Lombardi,['11228']
1077,P.S. 205 Alexander Graham Bell,['11364']
1078,P.S. 205 Clarion,['11204']
1079,P.S. 205 Fiorello LaGuardia,['10458']
1080,P.S. 206 Jose Celso Barbosa,['10035']
1081,P.S. 206 Joseph F Lamb,['11229']
1082,P.S. 206 The Horace Harding School,['11374']
1083,P.S. 207,['11234']
1084,P.S. 207 Elizabeth G. Leary,['11234']
1085,P.S. 207 Rockwood Park,['11414']
1086,P.S. 208 Elsa Ebeling,['11203']
1087,P.S. 209,['11357']
1088,P.S. 209 Clearview Gardens,['11357']
1089,P.S. 209 Margaret Mead,['11235']
1090,P.S. 21 Margaret Emery-Elm Park,['10303']
1091,P.S. 211,['10457']
1092,P.S. 212,['11372']
1093,P.S. 212 Lady Deborah Moody,['11214']
1094,P.S. 212 Midtown West,['10036']
1095,P.S. 213 New Lots,['11207']
1096,P.S. 213 The Carl Ullman School,['11364']
1097,P.S. 214,['10460']
1098,P.S. 214 Cadwallader Colden,['11354']
1099,P.S. 214 Michael Friedsam,['11208']
1100,P.S. 215 Morris H. Weiss,['11223']
1101,P.S. 216 Arturo Toscanini,['11223']
1102,P.S. 217 Colonel David Marcus School,['11230']
1103,P.S. 219 Kennedy-King,['11212']
1104,P.S. 219 Paul Klapper,['11367']
1105,P.S. 220 Edward Mandel,['11375']
1106,P.S. 221 The North Hills School,['11362']
1107,P.S. 221 Toussaint L'Ouverture,['11213']
1108,P.S. 222 Katherine R. Snyder,['11234']
1109,P.S. 223 Lyndon B. Johnson,['11434']
1110,P.S. 224 Hale A. Woodruff,['11208']
1111,P.S. 226,['11204']
1112,P.S. 226 Alfred De B.Mason,['11204']
1113,P.S. 228 Early Childhood Magnet School of the Arts,"['11369', '11369']"
1114,P.S. 229 Dyker,['11228']
1115,P.S. 229 Emanuel Kaplan,['11377']
1116,P.S. 230 Doris L. Cohen,['11218']
1117,P.S. 232 Lindenwood,['11414']
1118,P.S. 233 Langston Hughes,['11236']
1119,P.S. 234,['10007']
1120,P.S. 234 Independence School,['10007']
1121,P.S. 235 Janice Marie Knight School,['11203']
1122,P.S. 236 Langston Hughes,['10453']
1123,P.S. 236 Mill Basin,['11234']
1124,P.S. 238 Anne Sullivan,['11223']
1125,P.S. 239,['11385']
1126,P.S. 241 Emma L. Johnston,['11225']
1127,P.S. 242 - The Young Diplomats Magnet Academy,['10027']
1128,P.S. 242 Leonard P. Stavisky Early Childhood Schoo,['11354']
1129,P.S. 243K- The Weeksville School,['11213']
1130,P.S. 244 Richard R. Green,['11203']
1131,P.S. 245,['11226']
1132,P.S. 246 Poe Center,['10468']
1133,P.S. 247 Brooklyn,['11204']
1134,P.S. 249 The Caton,['11226']
1135,P.S. 250 George H. Lindsay,['11206']
1136,P.S. 251 Paerdegat,['11234']
1137,P.S. 251 Queens,['11413']
1138,P.S. 253,['11235']
1139,P.S. 254 - The Rosa Parks School,['11418']
1140,P.S. 254 Dag Hammarskjold,['11235']
1141,P.S. 255 Barbara Reing School,['11229']
1142,P.S. 256 Benjamin Banneker,['11216']
1143,P.S. 257 John F. Hylan,['11206']
1144,P.S. 261 Philip Livingston,['11201']
1145,P.S. 262 El Hajj Malik El Shabazz Elementary Schoo,['11233']
1146,P.S. 264 Bay Ridge Elementary School For The Arts,['11209']
1147,P.S. 268 Emma Lazarus,['11203']
1148,P.S. 269 Nostrand,['11210']
1149,P.S. 270 Johann DeKalb,['11205']
1150,P.S. 272 Curtis Estabrook,['11236']
1151,P.S. 273,['11207']
1152,P.S. 273 Wortman,['11207']
1153,P.S. 274 Kosciusko,['11221']
1154,P.S. 276 Louis Marshall,['11236']
1155,P.S. 277,['10455']
1156,P.S. 277 Gerritsen Beach,['11229']
1157,"P.S. 279 Captain Manuel Rivera, Jr.",['10453']
1158,P.S. 279 Herman Schreiber,['11236']
1159,P.S. 28 - The Thomas Emanuel Early Childhood Cente,['11368']
1160,P.S. 280,['11372']
1161,P.S. 282 Park Slope,['11217']
1162,P.S. 287 Bailey K. Ashford,['11201']
1163,P.S. 288 The Shirley Tanyhill,['11224']
1164,P.S. 289 George V. Brower,['11213']
1165,P.S. 290 Juan Morel Campos,['11207']
1166,P.S. 290 Manhattan New School,['10028']
1167,P.S. 291,['10453']
1168,P.S. 295,['11215']
1169,P.S. 297 Abraham Stockton,['11206']
1170,P.S. 298 Dr. Betty Shabazz,['11212']
1171,P.S. 299 Thomas Warren Field,['11221']
1172,P.S. 3 Raul Julia Micro Society,['10457']
1173,P.S. 305 Dr. Peter Ray,['11216']
1174,P.S. 306,['10453']
1175,P.S. 306 Ethan Allen,['11207']
1176,P.S. 307 Daniel Hale Williams,['11201']
1177,P.S. 308 Clara Cardwell,['11221']
1178,P.S. 309 The George E. Wibecan Preparatory Academy,['11221']
1179,P.S. 310 Marble Hill,['10463']
1180,P.S. 312 Bergen Beach,['11234']
1181,P.S. 315 Lab School,['10468']
1182,P.S. 316 Elijah Stroud,['11238']
1183,P.S. 319,['11211']
1184,P.S. 321 William Penn,['11215']
1185,P.S. 326,['11234']
1186,P.S. 327 Dr. Rose B. English,['11212']
1187,P.S. 328 Phyllis Wheatley,['11207']
1188,P.S. 329 Surfside,['11224']
1189,P.S. 330,['11368']
1190,P.S. 333 Manhattan School for Children,['10025']
1191,P.S. 335 Granville T. Woods,['11213']
1192,P.S. 340,['10011']
1193,P.S. 345 Patrolman Robert Bolden,['11208']
1194,P.S. 346 Abe Stark,['11239']
1195,P.S. 35 The Clove Valley School,['10301']
1196,P.S. 36,['11207']
1197,P.S. 360,['10463']
1198,P.S. 361 East Flatbush Early Childhood School,['11226']
1199,P.S. 368,['11206']
1200,P.S. 370,['11224']
1201,P.S. 371 - Lillian L. Rashkis,['11232']
1202,P.S. 372 -The Children's School,['11215']
1203,P.S. 373 - Brooklyn Transition Center,['11206']
1204,P.S. 375 Jackie Robinson School,['11225']
1205,P.S. 376,['11237']
1206,P.S. 377,['11417']
1207,P.S. 377 Alejandrina B. De Gautier,['11221']
1208,P.S. 38 Roberto Clemente,['10029']
1209,P.S. 380 John Wayne Elementary,['11206']
1210,P.S. 39 Francis J. Murphy Jr.,['10305']
1211,P.S. 396,['10453']
1212,P.S. 397 Foster-Laurie,['11203']
1213,P.S. 398 Walter Weaver,['11212']
1214,P.S. 399 Stanley Eugene Clark,['11226']
1215,P.S. 452,['10023']
1216,P.S. 5 Port Morris,['10455']
1217,P.S. 503: The School of Discovery,['11220']
1218,P.S. 506: The School of Journalism & Technology,['11220']
1219,P.S. 527 - East Side School for Social Action,['10128']
1220,P.S. 536,['10460']
1221,P.S. 56 The Louis Desario School,['10309']
1222,P.S. 58 - The School of Heroes,['11378']
1223,P.S. 583,['10472']
1224,P.S. 6 Corporal Allan F. Kivlehan School,['10307']
1225,P.S. 65 - The Raymond York Elementary School,['11417']
1226,P.S. 65 The Academy of Innovative Learning,['10301']
1227,P.S. 66,['11236']
1228,P.S. 69 Vincent D. Grippo School,['11220']
1229,P.S. 723,['10454']
1230,P.S. 74 Future Leaders Elementary School,['10301']
1231,P.S. 748 Brooklyn School for Global Scholars,['11214']
1232,P.S. 77 Lower Lab School,['10128']
1233,P.S. 770 New American Academy,['11212']
1234,P.S. 78,['10304']
1235,P.S. 8 Shirlee Solomon,['10308']
1236,P.S. 81Q Jean Paul Richter,['11385']
1237,P.S. 889,['11218']
1238,P.S. 89,['10282']
1239,P.S. 9 Ryer Avenue Elementary School,['10458']
1240,P.S. 90 Edna Cohen School,['11224']
1241,P.S. 97 The Highlawn,['11223']
1242,P.S. K134,['11218']
1243,P.S. K225 - The Eileen E. Zaglin,['11235']
1244,P.S. K369 - Coy L. Cox School,['11217']
1245,P.S. K721 - Brooklyn Occupational Training Center,['11223']
1246,P.S. K753 - School for Career Development,['11238']
1247,P.S. K811 Connie Lekas School,['11235']
1248,P.S. M079 - Horan School,['10035']
1249,P.S. M094,['10280']
1250,P.S. M169 - Robert F. Kennedy,['10128']
1251,P.S. M721 - Manhattan Occupational Training Center,['10014']
1252,P.S. M811 - Mickey Mantle School,['10024']
1253,P.S. Q016 The Nancy DeBenedittis School,['11368']
1254,P.S. Q023 @ Queens Children Center,['11426']
1255,P.S. Q256,['11791']
1256,P.S. Q811,['11362']
1257,P.S. X015 Institute for Environmental Learning,['10453']
1258,P.S. X037 - Multiple Intelligence School,['10463']
1259,P.S. X088 - S. Silverstein Little Sparrow School,['10456']
1260,P.S. X721 - Stephen McSweeney School,['10461']
1261,P.S./ I.S. 155 Nicholas Herkimer,['11233']
1262,P.S./ IS 178 Holliswood,['11423']
1263,P.S./I.S. 045 Horace E. Greene,['11207']
1264,P.S./I.S. 087 Middle Village,['11379']
1265,P.S./I.S. 104 The Fort Hamilton School,['11209']
1266,P.S./I.S. 113 Anthony J. Pranzo,['11385']
1267,P.S./I.S. 116 William C. Hughley,['11433']
1268,P.S./I.S. 137 Rachel Jean Mitchell,['11233']
1269,P.S./I.S. 157 The Benjamin Franklin Health & Scien,['11205']
1270,P.S./I.S. 187 Hudson Cliffs,['10033']
1271,P.S./I.S. 208,['11426']
1272,P.S./I.S. 217 Roosevelt Island,['10044']
1273,P.S./I.S. 218 Rafael Hernandez Dual Language Magne,['10452']
1274,P.S./I.S. 224,['10454']
1275,P.S./I.S. 266,['11426']
1276,P.S./I.S. 268,['11433']
1277,P.S./I.S. 295,['11428']
1278,P.S./I.S. 30 Mary White Ovington,['11209']
1279,P.S./I.S. 323,['11212']
1280,P.S./I.S. 54,['10458']
1281,P.S./I.S. 78Q,['11109']
1282,P.S./M.S 042 R. Vernam,['11692']
1283,P.S./M.S. 004 Crotona Park West,['10457']
1284,P.S./M.S. 031 The William Lloyd Garrison,['10451']
1285,P.S./M.S. 114 Belle Harbor,['11694']
1286,P.S./M.S. 11X498 - VAN NEST ACADEMY,['10462']
1287,P.S./M.S. 138 Sunrise,"['25111', '11422']"
1288,P.S./M.S. 147 Ronald McNair,['11411']
1289,P.S./M.S. 200 - The Pomonok School & STAR Academy,['11365']
1290,P.S./M.S. 280 Mosholu Parkway,['10467']
